"Profile.Name","Start.Time","Duration","Attributes","Title","Supplemental.Video.Type","Device.Type","Bookmark","Latest.Bookmark","Country"
"Astrid",2020-11-28 00:26:01,"00:00:06","Autoplayed: user action: None; ","Jack Whitehall: Travels with My Father: Season 2: Episode 4","","FireTV Stick 2016","00:00:14","00:00:14","GB (United Kingdom)"
"Astrid",2020-11-27 23:55:34,"00:30:25","Autoplayed: user action: None; ","Jack Whitehall: Travels with My Father: Season 2: Episode 3","","FireTV Stick 2016","00:30:31","00:30:31","GB (United Kingdom)"
"Astrid",2020-11-27 23:31:34,"00:19:52","","Jack Whitehall: Travels with My Father: Season 2: Episode 2","","FireTV Stick 2016","00:29:26","00:29:26","GB (United Kingdom)"
"Astrid",2020-11-27 23:12:02,"00:10:00","Autoplayed: user action: Unspecified; ","Jack Whitehall: Travels with My Father: Season 2: Episode 2","","FireTV Stick 2016","00:09:36","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-27 22:43:07,"00:28:49","Autoplayed: user action: Unspecified; ","Jack Whitehall: Travels with My Father: Season 2: Episode 1","","FireTV Stick 2016","00:28:49","00:28:49","GB (United Kingdom)"
"Astrid",2020-11-27 22:43:00,"00:00:05","Autoplayed: user action: None; ","Jack Whitehall: Travels with My Father: Season 3 (Trailer)","TRAILER","FireTV Stick 2016","00:00:05","00:00:05","GB (United Kingdom)"
"Astrid",2020-11-27 21:49:09,"00:53:31","","Bridget Jones: The Edge of Reason","","FireTV Stick 2016","01:41:44","01:41:44","GB (United Kingdom)"
"Astrid",2020-11-27 20:51:14,"00:48:19","Autoplayed: user action: Unspecified; ","Bridget Jones: The Edge of Reason","","FireTV Stick 2016","00:48:19","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-27 20:50:51,"00:00:09","Autoplayed: user action: None; ","Notting Hill_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:09","00:00:09","GB (United Kingdom)"
"Astrid",2020-11-27 20:49:58,"00:00:38","Autoplayed: user action: None; ","Come Dine With Me: Series 12_hook_01_16x9","HOOK","FireTV Stick 2016","00:00:38","00:00:38","GB (United Kingdom)"
"Astrid",2020-11-27 20:47:13,"00:02:14","","The Story of Diana: Season 1: Part 2 (Episode 2)","","FireTV Stick 2016","00:01:40","00:01:40","GB (United Kingdom)"
"Astrid",2020-11-27 20:47:00,"00:00:12","Autoplayed: user action: None; ","The Story of Diana: Season 1_hook_primary_16x9","HOOK","FireTV Stick 2016","00:00:12","00:00:12","GB (United Kingdom)"
"Astrid",2020-11-27 20:10:40,"00:35:25","","Call My Agent!: Season 3: ASK (Episode 6)","","FireTV Stick 2016","01:05:57","01:05:57","GB (United Kingdom)"
"Astrid",2020-11-27 20:00:49,"00:03:50","","Call My Agent!: Season 3: ASK (Episode 6)","","FireTV Stick 2016","00:30:35","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-27 19:02:54,"00:26:14","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: ASK (Episode 6)","","FireTV Stick 2016","00:26:47","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-27 19:02:39,"00:00:06","Autoplayed: user action: None; ","Our Planet: Season 1 (CEE Asset 2)","PROMOTIONAL","FireTV Stick 2016","00:00:06","00:00:06","GB (United Kingdom)"
"Astrid",2020-11-26 21:07:12,"00:53:38","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Béatrice (Episode 5)","","FireTV Stick 2016","00:54:20","00:54:20","GB (United Kingdom)"
"Astrid",2020-11-26 19:54:07,"01:06:12","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Isabelle (Episode 4)","","FireTV Stick 2016","01:06:45","01:06:45","GB (United Kingdom)"
"Astrid",2020-11-25 22:23:57,"00:00:04","Autoplayed: user action: None; ","Call My Agent!: Season 3: Isabelle (Episode 4)","","FireTV Stick 2016","00:00:09","Not latest view","GB (United Kingdom)"
"Astrid",2020-11-25 21:28:30,"00:55:13","Autoplayed: user action: Unspecified; ","Call My Agent!: Season 3: Gérard (Episode 3)","","FireTV Stick 2016","00:55:13","00:55:13","GB (United Kingdom)"
